Antibiotics,C0003232|C0003237|C3540704|C3540705|C3540706|C3540707|C3540708|C3540709|C3540710,[antb]|[antb]|[antb]|[antb]|[antb]|[antb]|[antb]|[antb]|[antb],"Antibiotics|Antibiotics, Antitubercular|Antibiotics for systemic use|Antifungal Antibiotics, Topical|Antibiotic throat preparations|Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE|Antibiotics, Gynecological|antibiotics, intestinal|Antibiotics, ophthalmologic",,,
Anticoagulants,C0003280,[phsu],Anticoagulants,,,
Anticoagulants (oral) - Coumarin Derivatives - Indandione Derivatives,C0003280|C0442027|C0010207,"[phsu]|[spco]|[orch, phsu]",Anticoagulants|Oral|Coumarins,,,
Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives,C0003280|C0442027|C0010207,"[phsu]|[spco]|[orch, phsu]",Anticoagulants|Oral|Coumarins,,,
Anticonvulsants,C0003286,[phsu],Anticonvulsants,,,
Anticonvulsants,C0003286,[phsu],Anticonvulsants,,,
Antiretroviral agents,C0599685,[phsu],Anti-Retroviral Agents,,,
Antiretrovirals,,,,,,
Benzodiazapines,,,,,,
Beta-Blockers,C0001645,[phsu],Adrenergic beta-Antagonists,,,
CLINICAL EFFECT(S),C0205210|C1280500|C2348382|C0237412|C0497591|C1553058|C0565930|C2603362,[qlco]|[qlco]|[qlco]|[prog]|[prog]|[prog]|[qnco]|[clna],"Clinical|Effect|Effect, Appearance|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|per second|S prime",,,
CLINICAL EFFECT(S),C0205210|C1280500|C2348382|C0237412|C0497591|C1553058|C0565930|C2603362,[qlco]|[qlco]|[qlco]|[prog]|[prog]|[prog]|[qnco]|[clna],"Clinical|Effect|Effect, Appearance|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|per second|S prime",,,
CONCOMITANT DRUG,C0521115|C0013227|C1254351,[tmco]|[phsu]|[phsu],Simultaneous|Pharmaceutical Preparations|Pharmacologic Substance,,,
Caffeine/Xanthine Derivatives,C0006644|C1718515|C3541953|C3541954,"[orch, phsu]|[bacs, orch]|[orch, phsu]|[orch, phsu]","Caffeine|Xanthine derivatives|Xanthine derivatives, psychostimulants, agents used for ADHD and nootropics|Xanthine derivatives, low-ceiling diuretics",,,
Cardiac Glycosides,C0007158,"[orch, phsu]",Cardiac Glycosides,,,
Central Nervous System (CNS) Depressants,C0007681,[phsu],Central Nervous System Depressants,,,
Classes of Drugs,C0456387|C1705943|C4019422|C0013227|C3687832,[inpr]|[clas]|[hlca]|[phsu]|[topp],Class|Class (taxonomic)|Classes - encounter|Pharmaceutical Preparations|Drugs,,,
ClassesofDrug,,,,,,
ClassesofDrugs,,,,,,
Clinical Comment,C0205210|C0282411|C0947611|C0237412|C0497591|C1553058,[qlco]|[inpr]|[inpr]|[prog]|[prog]|[prog],Clinical|Published Comment|Comment|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical,,,
Clinical Comment,C0205210|C0282411|C0947611|C0237412|C0497591|C1553058,[qlco]|[inpr]|[inpr]|[prog]|[prog]|[prog],Clinical|Published Comment|Comment|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical,,,
Clinical Impact:,C0205210|C1825598|C0237412|C0497591|C1553058,[qlco]|[gngm]|[prog]|[prog]|[prog],Clinical|IMPACT gene|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical,,,
Clinical Implications,C0205210|C0237412|C0497591|C1553058,[qlco]|[prog]|[prog]|[prog],Clinical|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical,,,
Clinical Rationale and Magnitude of Drug Interaction,C0205210|C0392360|C2699007|C0237412|C0497591|C1553058|C0449286|C1704240|C0678798|C0687133,[qlco]|[idcn]|[idcn]|[prog]|[prog]|[prog]|[qnco]|[qnco]|[fndg]|[moft],Clinical|Indication of (contextual qualifier)|Rationale|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|Degree or extent|Magnitude|Adverse drug interaction|Drug Interactions,,,
Clinical Recommendation,C0205210|C0034866|C0237412|C0497591|C1553058,[qlco]|[idcn]|[prog]|[prog]|[prog],Clinical|Recommendation|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical,,,
ClinicalComment,,,,,,
Cm a x,,,,,,
Cmax,C2347813,[qnco],Cmax,,,
Cmax SS (Peak plasma concentration),C2347813|C2699257|C0032105|C1550098|C0444505|C0683150|C3891295,[qnco]|[mamm]|[bdsu]|[bdsu]|[qnco]|[qnco]|[inpr],"Cmax|SS, Rat Strain|Plasma|Plasma, NOS (not otherwise specified)|Peak level|plasma concentration|Subject Status Domain",,,
Cmax ofCoadministeredDrug (95% CI),C2347813|C0008107|C3259781,[qnco]|[geoa]|[lbpr],Cmax|Chile|Coagulation Index Measurement,,,
Cmax ofCoadministeredDrug(90% CI),C2347813|C0439083|C0008107|C3259781|C0439087|C3842582,[qnco]|[qnco]|[geoa]|[lbpr]|[qnco]|[fndg],Cmax|>90|Chile|Coagulation Index Measurement|<90|90%,,,
Cmax ofDidanosine(90% CI),C2347813|C0439083|C0008107|C3259781|C0439087|C3842582,[qnco]|[qnco]|[geoa]|[lbpr]|[qnco]|[fndg],Cmax|>90|Chile|Coagulation Index Measurement|<90|90%,,,
Cmax ofDidanosine(95% CI),C2347813|C0008107|C3259781,[qnco]|[geoa]|[lbpr],Cmax|Chile|Coagulation Index Measurement,,,
Cmax ofCoadministered Drug(95% CI),C2347813|C0013227|C1254351|C0008107|C3259781,[qnco]|[phsu]|[phsu]|[geoa]|[lbpr],Cmax|Pharmaceutical Preparations|Pharmacologic Substance|Chile|Coagulation Index Measurement,,,
Cmax ofStavudine(95% CI),C2347813|C0008107|C3259781,[qnco]|[geoa]|[lbpr],Cmax|Chile|Coagulation Index Measurement,,,
Cmax(ng/mL),C2347813|C0439275,[qnco]|[qnco],Cmax|Microgram per Liter,,,
CmaxSS(Peak plasma concentration),C2347813|C0032105|C1550098|C0444505|C0683150,[qnco]|[bdsu]|[bdsu]|[qnco]|[qnco],"Cmax|Plasma|Plasma, NOS (not otherwise specified)|Peak level|plasma concentration",,,
Cmax,C2347813,[qnco],Cmax,,,
Cmin,C2827771,[qnco],Cmin,,,
Co-administered Drug,C3245499|C1521801|C0013227|C1254351,[geoa]|[ftcn]|[phsu]|[phsu],Colombia|Having administered|Pharmaceutical Preparations|Pharmacologic Substance,,,
Co-administered Drug Dose (Schedule),C3245499|C1521801|C0678766|C0086960,[geoa]|[ftcn]|[qnco]|[inpr],Colombia|Having administered|Drug dose|Schedule (document type),,,
Co-administered Drug,C3245499|C1521801|C0013227|C1254351,[geoa]|[ftcn]|[phsu]|[phsu],Colombia|Having administered|Pharmaceutical Preparations|Pharmacologic Substance,,,
Coadministered Drug,C0013227|C1254351,[phsu]|[phsu],Pharmaceutical Preparations|Pharmacologic Substance,,,
Coadministered Drug,C0013227|C1254351,[phsu]|[phsu],Pharmaceutical Preparations|Pharmacologic Substance,,,
Coadministered drug,C0013227|C1254351,[phsu]|[phsu],Pharmaceutical Preparations|Pharmacologic Substance,,,
CoadministeredDrug,,,,,,
Comments,C0282411|C0947611|C1705247,[inpr]|[inpr]|[cnce],Published Comment|Comment|Comment Domain,,,
Concomitant Drug,C0521115|C0013227|C1254351,[tmco]|[phsu]|[phsu],Simultaneous|Pharmaceutical Preparations|Pharmacologic Substance,,,
Concomitant Drug Class or Food,C0521115|C0013227|C0456387|C1705943|C1254351|C0016452|C3540798,"[tmco]|[phsu]|[inpr]|[clas]|[phsu]|[food]|[imft, phsu]",Simultaneous|Pharmaceutical Preparations|Class|Class (taxonomic)|Pharmacologic Substance|Food|Food allergenic extracts,,,
Concomitant Drug Class: Drug Name,C0521115|C0013227|C0456387|C1705943|C1254351|C0027365|C1547383,[tmco]|[phsu]|[inpr]|[clas]|[phsu]|[inpr]|[inpr],Simultaneous|Pharmaceutical Preparations|Class|Class (taxonomic)|Pharmacologic Substance|Name|Person Name,,,
Concomitant Drug Class:Drug Name,C0521115|C0013227|C0456387|C1705943|C1254351|C0027365|C1547383,[tmco]|[phsu]|[inpr]|[clas]|[phsu]|[inpr]|[inpr],Simultaneous|Pharmaceutical Preparations|Class|Class (taxonomic)|Pharmacologic Substance|Name|Person Name,,,
Concomitant Drug Class:Specific Drugs,C0521115|C0013227|C0456387|C1705943|C1254351|C0205369|C3687832|C1552740,[tmco]|[phsu]|[inpr]|[clas]|[phsu]|[qlco]|[topp]|[inpr],Simultaneous|Pharmaceutical Preparations|Class|Class (taxonomic)|Pharmacologic Substance|Specific qualifier value|Drugs|Entity Determiner - specific,,,
Concomitant Drug Name or Drug Class,C0521115|C0013227|C0027365|C1547383|C1254351|C0456387|C1705943,[tmco]|[phsu]|[inpr]|[inpr]|[phsu]|[inpr]|[clas],Simultaneous|Pharmaceutical Preparations|Name|Person Name|Pharmacologic Substance|Class|Class (taxonomic),,,
Concomitant Drug,C0521115|C0013227|C1254351,[tmco]|[phsu]|[phsu],Simultaneous|Pharmaceutical Preparations|Pharmacologic Substance,,,
ConcomitantDrug,,,,,,
Conjugated Estrogens,C0014938,"[horm, orch, phsu]","Estrogens, Conjugated (USP)",,,
Conjugated Estrogens plus PROMETRIUM Capsules,C0014938|C0876759|C0006935,"[horm, orch, phsu]|[orch, phsu]|[bodm]","Estrogens, Conjugated (USP)|Prometrium|capsule (pharmacologic)",,,
Conjugated Estrogens plus Progesterone Capsules,C0014938|C0033308|C0006935|C2757070,"[horm, orch, phsu]|[horm, orch, phsu]|[bodm]|[phsu]","Estrogens, Conjugated (USP)|Progesterone|capsule (pharmacologic)|Progesterone [EPC]",,,
Corticosteroids,C0001617|C3539185|C3540725|C3540726|C3540727,"[horm, orch, phsu]|[orch, phsu]|[orch, phsu]|[orch, phsu]|[orch, phsu]","Adrenal Cortex Hormones|Corticosteroid nasal preparations for topical use|Corticosteroid otologicals|Corticosteroid ophthalmologic and otologic preparations|Corticosteroids, topical for treatment of hemorrhoids and anal fissures",,,
Cyclosporine,C0010592|C0010594,"[aapp, phsu]|[imft, phsu]",Cyclosporine|Cyclosporins,,,
DESCRIPTION OF INTERACTION,C0678257|C1704675,[inpr]|[ftcn],Description|Interaction,,,
DISCRIPTION OF INTERACTION,C1704675,[ftcn],Interaction,,,
Didanosine Dosage,C0012133|C0178602,"[nnon, phsu]|[qnco]",Didanosine|Dosage,,,
DidanosineDosage,,,,,,
Diluent,C1875022,[bodm],DILUENT,,,
Dosage Adjustment of Aripiprazole,C0178602|C0376209|C0456081|C0683269|C0299792,"[qnco]|[inbe]|[ftcn]|[inbe]|[orch, phsu]",Dosage|Individual Adjustment|Adjustment Action|Psychological adjustment|aripiprazole,,,
Dose Regimen of Immediate-Release Nevirapine,C2348331|C1708470|C0132326,"[topp]|[bodm]|[orch, phsu]",Dose Regimen|Immediate Release Dosage Form|Nevirapine,,,
Dose Regimen of Nevirapine,C2348331|C0132326,"[topp]|[orch, phsu]",Dose Regimen|Nevirapine,,,
Dose of AED(mg/day),C0178602|C0869039|C1114758|C0887457|C0439422,"[qnco]|[qnco]|[clna]|[orch, phsu]|[qnco]",Dosage|Unit dose|Dose number:Number:Point in time:^Patient:Quantitative|Cystamine Dihydrochloride|milligram/day,,,
Dose of Azithromycin,C0178602|C0869039|C1114758|C0052796,"[qnco]|[qnco]|[clna]|[antb, orch]",Dosage|Unit dose|Dose number:Number:Point in time:^Patient:Quantitative|Azithromycin,,,
Dose of CRIXIVAN (mg),C0178602|C0869039|C1114758|C0701105|C0026410|C0439269|C1960952|C2346927,"[qnco]|[qnco]|[clna]|[orch, phsu]|[geoa]|[qnco]|[qnco]|[elii, phsu]",Dosage|Unit dose|Dose number:Number:Point in time:^Patient:Quantitative|Crixivan|Mongolia|mg/dL|Milligram percent|Magnesium Cation,,,
Dose of Co-administered Drug,C0178602|C0869039|C1114758|C3245499|C1521801|C0013227|C1254351,[qnco]|[qnco]|[clna]|[geoa]|[ftcn]|[phsu]|[phsu],Dosage|Unit dose|Dose number:Number:Point in time:^Patient:Quantitative|Colombia|Having administered|Pharmaceutical Preparations|Pharmacologic Substance,,,
Dose of Coadministered Drug,C0178602|C0869039|C1114758|C0013227|C1254351,[qnco]|[qnco]|[clna]|[phsu]|[phsu],Dosage|Unit dose|Dose number:Number:Point in time:^Patient:Quantitative|Pharmaceutical Preparations|Pharmacologic Substance,,,
Dose of Coadministered drug (mg),C0178602|C0869039|C1114758|C0013227|C1254351|C0026410|C0439269|C1960952|C2346927,"[qnco]|[qnco]|[clna]|[phsu]|[phsu]|[geoa]|[qnco]|[qnco]|[elii, phsu]",Dosage|Unit dose|Dose number:Number:Point in time:^Patient:Quantitative|Pharmaceutical Preparations|Pharmacologic Substance|Mongolia|mg/dL|Milligram percent|Magnesium Cation,,,
Dose/Schedule of Co-administered Drug,C0178602|C0086960|C0869039|C1114758|C3245499|C1521801|C0013227|C1254351,[qnco]|[inpr]|[qnco]|[clna]|[geoa]|[ftcn]|[phsu]|[phsu],Dosage|Schedule (document type)|Unit dose|Dose number:Number:Point in time:^Patient:Quantitative|Colombia|Having administered|Pharmaceutical Preparations|Pharmacologic Substance,,,
Dosing Recommendations,C0178602|C0034866|C0869039|C1114758,[qnco]|[idcn]|[qnco]|[clna],Dosage|Recommendation|Unit dose|Dose number:Number:Point in time:^Patient:Quantitative,,,
Dosing Schedule,C0178602|C0086960|C0869039|C1114758,[qnco]|[inpr]|[qnco]|[clna],Dosage|Schedule (document type)|Unit dose|Dose number:Number:Point in time:^Patient:Quantitative,,,
Dosing Schedule,C0178602|C0086960|C0869039|C1114758,[qnco]|[inpr]|[qnco]|[clna],Dosage|Schedule (document type)|Unit dose|Dose number:Number:Point in time:^Patient:Quantitative,,,
DosingSchedule,,,,,,
Drug,C0013227|C1254351,[phsu]|[phsu],Pharmaceutical Preparations|Pharmacologic Substance,,,
Drug Class,C0013227|C0456387|C1705943|C1254351,[phsu]|[inpr]|[clas]|[phsu],Pharmaceutical Preparations|Class|Class (taxonomic)|Pharmacologic Substance,,,
Drug Class: Drug Name,C0013227|C0456387|C1705943|C1254351|C0027365|C1547383,[phsu]|[inpr]|[clas]|[phsu]|[inpr]|[inpr],Pharmaceutical Preparations|Class|Class (taxonomic)|Pharmacologic Substance|Name|Person Name,,,
"Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.2, 4, 5.2, 7.1, 7.2, 7.3, 7.4, 12.3)",C0687133|C0332281|C0205217|C0035647|C0442805|C0026848|C0035410|C0740116|C2827735|C2981700|C3833492|C0439084|C0728893,[moft]|[qlco]|[qnco]|[idcn]|[ftcn]|[dsyn]|[patf]|[qnco]|[qnco]|[clas]|[fndg]|[qnco]|[qnco],"Drug Interactions|Associated with|Increased|Risk|Increase|Myopathy|Rhabdomyolysis|+2|2+ Score|2+ Score, WHO|2+|>5|+5",,,
"Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)",C0687133|C0332281|C0205217|C0035647|C0442805|C0026848|C0035410|C0740116|C2827735|C2981700|C3833492|C0439084|C0728893,[moft]|[qlco]|[qnco]|[idcn]|[ftcn]|[dsyn]|[patf]|[qnco]|[qnco]|[clas]|[fndg]|[qnco]|[qnco],"Drug Interactions|Associated with|Increased|Risk|Increase|Myopathy|Rhabdomyolysis|+2|2+ Score|2+ Score, WHO|2+|>5|+5",,,
Drug Name,C0013227|C0027365|C1547383|C1254351,[phsu]|[inpr]|[inpr]|[phsu],Pharmaceutical Preparations|Name|Person Name|Pharmacologic Substance,,,
Drug Name,C0013227|C0027365|C1547383|C1254351,[phsu]|[inpr]|[inpr]|[phsu],Pharmaceutical Preparations|Name|Person Name|Pharmacologic Substance,,,
Drug Plasma Exposure (Cmax and AUC?),C0743284|C0032105|C1550098|C2347813|C0376690,[fndg]|[bdsu]|[bdsu]|[qnco]|[qnco],"drug exposure|Plasma|Plasma, NOS (not otherwise specified)|Cmax|Area Under Curve",,,
Drug Plasma Exposure(Cmax and AUC?),C0743284|C0032105|C1550098|C2347813|C0376690,[fndg]|[bdsu]|[bdsu]|[qnco]|[qnco],"drug exposure|Plasma|Plasma, NOS (not otherwise specified)|Cmax|Area Under Curve",,,
Drug or Drug Class,C0013227|C1254351|C0456387|C1705943,[phsu]|[phsu]|[inpr]|[clas],Pharmaceutical Preparations|Pharmacologic Substance|Class|Class (taxonomic),,,
Drug(s),C0013227|C1254351|C0565930|C2603362,[phsu]|[phsu]|[qnco]|[clna],Pharmaceutical Preparations|Pharmacologic Substance|per second|S prime,,,
Drug(s) Affecting Pharmacokinetics of CIPRO XR,C0013227|C1254351|C0392760|C0031327|C0031328|C1314939|C1170167,"[phsu]|[phsu]|[ftcn]|[phsf]|[ftcn]|[ftcn]|[orch, phsu]",Pharmaceutical Preparations|Pharmacologic Substance|Affecting|Drug Kinetics|Pharmacokinetic aspects|Involvement with|Cipro XR,,,
"Drug(s) Affecting Pharmacokinetics of Ciprofloxacin Tablets, USP",C0013227|C1254351|C0392760|C0031327|C0031328|C1314939|C0008809|C0039225|C1656373|C1706444|C3542434,"[phsu]|[phsu]|[ftcn]|[phsf]|[ftcn]|[ftcn]|[orch, phsu]|[bodm]|[moft]|[hcro]|[inpr]",Pharmaceutical Preparations|Pharmacologic Substance|Affecting|Drug Kinetics|Pharmacokinetic aspects|Involvement with|Ciprofloxacin|Tablet Dosage Form|UTP-monosaccharide-1-phosphate uridylyltransferase activity|United States Pharmacopeia|Urgency Perception Scale Questionnaire,,,
"Drug(s) with Pharmacokinetics Affected by KETEK(Mechanism of interaction, if known)",C0013227|C1254351|C0031327|C0031328|C0392760|C1314939|C1452484|C0441712|C1706376|C1704675|C0205309,"[phsu]|[phsu]|[phsf]|[ftcn]|[ftcn]|[ftcn]|[antb, orch]|[ftcn]|[mnob]|[ftcn]|[qlco]",Pharmaceutical Preparations|Pharmacologic Substance|Drug Kinetics|Pharmacokinetic aspects|Affecting|Involvement with|Ketek|Mechanism (attribute)|Mechanism Component of Device|Interaction|Known,,,
Drug/Drug Class(Mechanism of Interaction by Voriconazole),C4036061|C0456387|C1705943|C0441712|C1706376|C1704675|C0393080,"[fndg]|[inpr]|[clas]|[ftcn]|[mnob]|[ftcn]|[orch, phsu]",Drug-drug|Class|Class (taxonomic)|Mechanism (attribute)|Mechanism Component of Device|Interaction|voriconazole,,,
Drug/Drug Class(Mechanism of Interaction by the Drug),C4036061|C0456387|C1705943|C0441712|C1706376|C1704675|C0013227|C1254351,[fndg]|[inpr]|[clas]|[ftcn]|[mnob]|[ftcn]|[phsu]|[phsu],Drug-drug|Class|Class (taxonomic)|Mechanism (attribute)|Mechanism Component of Device|Interaction|Pharmaceutical Preparations|Pharmacologic Substance,,,
Drug/Drug Class(Mechanism ofInteraction by Voriconazole),C4036061|C0456387|C1705943|C0441712|C1706376|C0393080,"[fndg]|[inpr]|[clas]|[ftcn]|[mnob]|[orch, phsu]",Drug-drug|Class|Class (taxonomic)|Mechanism (attribute)|Mechanism Component of Device|voriconazole,,,
Drug/Drug Class(Mechanism ofInteraction by the Drug),C4036061|C0456387|C1705943|C0441712|C1706376|C0013227|C1254351,[fndg]|[inpr]|[clas]|[ftcn]|[mnob]|[phsu]|[phsu],Drug-drug|Class|Class (taxonomic)|Mechanism (attribute)|Mechanism Component of Device|Pharmaceutical Preparations|Pharmacologic Substance,,,
Drugs Known to Prolong QT Interval,C0013227|C3687832|C0205309|C0040363|C0041260|C1883351|C0429028|C0488414,"[phsu]|[topp]|[qlco]|[geoa]|[aapp, enzy]|[qlco]|[clna]|[clna]",Pharmaceutical Preparations|Drugs|Known|Togo|Tryptophanase|To|QT interval feature (observable entity)|QT interval:Time:Point in time:Heart:Quantitative:EKG,,,
Drugs That Are Affected By KETEK,C0013227|C3687832|C0392760|C1314939|C1452484,"[phsu]|[topp]|[ftcn]|[ftcn]|[antb, orch]",Pharmaceutical Preparations|Drugs|Affecting|Involvement with|Ketek,,,
Drugs That Interfere with Hemostasis,C0013227|C3687832|C0521102|C0019116|C0740166,[phsu]|[topp]|[ftcn]|[ortf]|[topp],Pharmaceutical Preparations|Drugs|Interferes with|Hemostatic function|Hemostasis procedure,,,
Drugs That May Increase the Risk of Hypoglycemia,C0013227|C3687832|C3812381|C0442805|C0035647|C0020615,[phsu]|[topp]|[tmco]|[ftcn]|[idcn]|[dsyn],Pharmaceutical Preparations|Drugs|Month of May|Increase|Risk|Hypoglycemia,,,
Drugs That are Affected by CIPRO,C0013227|C3687832|C0392760|C1314939|C0701042,"[phsu]|[topp]|[ftcn]|[ftcn]|[orch, phsu]",Pharmaceutical Preparations|Drugs|Affecting|Involvement with|Cipro,,,
Drugs That are Affected by CIPRO IV,C0013227|C3687832|C0392760|C1314939|C0701042|C0022326,"[phsu]|[topp]|[ftcn]|[ftcn]|[orch, phsu]|[geoa]",Pharmaceutical Preparations|Drugs|Affecting|Involvement with|Cipro|Ivory Coast,,,
Drugs That are Affected by Ciprofloxacin,C0013227|C3687832|C0392760|C1314939|C0008809,"[phsu]|[topp]|[ftcn]|[ftcn]|[orch, phsu]",Pharmaceutical Preparations|Drugs|Affecting|Involvement with|Ciprofloxacin,,,
"Drugs That are Affected by Ciprofloxacin Tablets, USP",C0013227|C3687832|C0392760|C1314939|C0008809|C0039225|C1656373|C1706444|C3542434,"[phsu]|[topp]|[ftcn]|[ftcn]|[orch, phsu]|[bodm]|[moft]|[hcro]|[inpr]",Pharmaceutical Preparations|Drugs|Affecting|Involvement with|Ciprofloxacin|Tablet Dosage Form|UTP-monosaccharide-1-phosphate uridylyltransferase activity|United States Pharmacopeia|Urgency Perception Scale Questionnaire,,,
"Drugs known to prolong QT interval (e.g., Class IA and Class III anti-arrhythmic agents).",C0013227|C3687832|C0205309|C0040363|C0041260|C1883351|C0429028|C0488414|C0456387|C1947960|C1705943|C0441887|C0003195|C0301380|C2698969,"[phsu]|[topp]|[qlco]|[geoa]|[aapp, enzy]|[qlco]|[clna]|[clna]|[inpr]|[mamm]|[clas]|[inpr]|[phsu]|[phsu]|[fndg]",Pharmaceutical Preparations|Drugs|Known|Togo|Tryptophanase|To|QT interval feature (observable entity)|QT interval:Time:Point in time:Heart:Quantitative:EKG|Class|Ia <mammal>|Class (taxonomic)|Class 3|Anti-Arrhythmia Agents|Cardiac depressant drug|Canadian Cardiovascular Society Grading Scale Class III,,,
