"Heading","CUI","Semantic Type", "Preferred Name"
"\Atazanavir/RitonavirFor information regarding clinical recommendations, see \Drug Interactions (7)\.\, \Parallel group design; ","C1145759|C1533716|C0205210|C0034866|C0237412|C0497591|C1553058|C0042789|C1947903|C0687133|C2348042|C0441833|C1707689|C2983265|C0687744|C1257890|C1552516|C1705428|C1705429|C2826345","[orch, phsu]|[idcn]|[qlco]|[idcn]|[prog]|[prog]|[prog]|[orgf]|[acty]|[moft]|[qlco]|[idcn]|[acty]|[inpr]|[popg]|[popg]|[hcro]|[cnce]|[popg]|[resa]","Atazanavir|Information|Clinical|Recommendation|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|Vision|See|Drug Interactions|Parallel Lesion|Groups|Design|CDISC SEND Study Design Terminology|Social group|Population Group|Specialty Group|Group Object|User Group|Parallel Study""n = 23 for atazanavir/ritonavir + nevirapine, n = 22 for atazanavir/ritonavir without nevirapine. ","C0369718|C0441922|C0450348|C1977391|C0132326","[orch, phsu]|[idcn]|[qlco]|[idcn]|[prog]|[prog]|[prog]|[orgf]|[acty]|[moft]|[qlco]|[idcn]|[acty]|[inpr]|[popg]|[popg]|[hcro]|[cnce]|[popg]|[resa][aapp, imft]|[inpr]|[qnco]|[phsu]|[orch, phsu]","Atazanavir|Information|Clinical|Recommendation|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|Vision|See|Drug Interactions|Parallel Lesion|Groups|Design|CDISC SEND Study Design Terminology|Social group|Population Group|Specialty Group|Group Object|User Group|Parallel StudyN not otherwise specified Antibody|N+ (tumor staging)|23|Atazanavir+Ritonavir|Nevirapine""Changes in atazanavir PK are relative to atazanavir/ritonavir 300 mg/100 mg alone.","C0392747|C0443172|C1145759|C3875154|C1977391|C1319635|C3817553|C0205171|C0439044|C0679994","[orch, phsu]|[idcn]|[qlco]|[idcn]|[prog]|[prog]|[prog]|[orgf]|[acty]|[moft]|[qlco]|[idcn]|[acty]|[inpr]|[popg]|[popg]|[hcro]|[cnce]|[popg]|[resa][aapp, imft]|[inpr]|[qnco]|[phsu]|[orch, phsu][ftcn]|[qnco]|[orch, phsu]|[idcn]|[phsu]|[qnco]|[qnco]|[qnco]|[fndg]|[grpa]","Atazanavir|Information|Clinical|Recommendation|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|Vision|See|Drug Interactions|Parallel Lesion|Groups|Design|CDISC SEND Study Design Terminology|Social group|Population Group|Specialty Group|Group Object|User Group|Parallel StudyN not otherwise specified Antibody|N+ (tumor staging)|23|Atazanavir+Ritonavir|NevirapineChanging|Changed status|Atazanavir|Relative to|Atazanavir+Ritonavir|mg/mg|100%|Singular|Living Alone|alone - group size"
"\Atazanavir/RitonavirFor information regarding clinical recommendations, seeDrug Interactions (7)\.\Parallel group design; ","C1145759|C1533716|C0205210|C0034866|C0237412|C0497591|C1553058|C1704675|C2348042|C0441833|C1707689|C2983265|C0687744|C1257890|C1552516|C1705428|C1705429|C2826345","[orch, phsu]|[idcn]|[qlco]|[idcn]|[prog]|[prog]|[prog]|[ftcn]|[qlco]|[idcn]|[acty]|[inpr]|[popg]|[popg]|[hcro]|[cnce]|[popg]|[resa]","Atazanavir|Information|Clinical|Recommendation|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|Interaction|Parallel Lesion|Groups|Design|CDISC SEND Study Design Terminology|Social group|Population Group|Specialty Group|Group Object|User Group|Parallel Study"
"\Atazanavir/RitonavirFor information regarding clinical recommendations, seeDrug Interactions (7)\.\Parallel group design; ","C1145759|C1533716|C0205210|C0034866|C0237412|C0497591|C1553058|C1704675|C2348042|C0441833|C1707689|C2983265|C0687744|C1257890|C1552516|C1705428|C1705429|C2826345","[orch, phsu]|[idcn]|[qlco]|[idcn]|[prog]|[prog]|[prog]|[ftcn]|[qlco]|[idcn]|[acty]|[inpr]|[popg]|[popg]|[hcro]|[cnce]|[popg]|[resa]","Atazanavir|Information|Clinical|Recommendation|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|Interaction|Parallel Lesion|Groups|Design|CDISC SEND Study Design Terminology|Social group|Population Group|Specialty Group|Group Object|User Group|Parallel Study""n = 23 for atazanavir/ritonavir + nevirapine, n = 22 for atazanavir/ritonavir without nevirapine. ","C0369718|C0441922|C0450348|C1977391|C0132326","[orch, phsu]|[idcn]|[qlco]|[idcn]|[prog]|[prog]|[prog]|[ftcn]|[qlco]|[idcn]|[acty]|[inpr]|[popg]|[popg]|[hcro]|[cnce]|[popg]|[resa][aapp, imft]|[inpr]|[qnco]|[phsu]|[orch, phsu]","Atazanavir|Information|Clinical|Recommendation|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|Interaction|Parallel Lesion|Groups|Design|CDISC SEND Study Design Terminology|Social group|Population Group|Specialty Group|Group Object|User Group|Parallel StudyN not otherwise specified Antibody|N+ (tumor staging)|23|Atazanavir+Ritonavir|Nevirapine"
"\Atazanavir/RitonavirFor information regarding clinical recommendations, seeDrug Interactions (7)\.\Parallel group design; ","C1145759|C1533716|C0205210|C0034866|C0237412|C0497591|C1553058|C1704675|C2348042|C0441833|C1707689|C2983265|C0687744|C1257890|C1552516|C1705428|C1705429|C2826345","[orch, phsu]|[idcn]|[qlco]|[idcn]|[prog]|[prog]|[prog]|[ftcn]|[qlco]|[idcn]|[acty]|[inpr]|[popg]|[popg]|[hcro]|[cnce]|[popg]|[resa]","Atazanavir|Information|Clinical|Recommendation|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|Interaction|Parallel Lesion|Groups|Design|CDISC SEND Study Design Terminology|Social group|Population Group|Specialty Group|Group Object|User Group|Parallel Study""n = 23 for atazanavir/ritonavir + nevirapine, n = 22 for atazanavir/ritonavir without nevirapine. ","C0369718|C0441922|C0450348|C1977391|C0132326","[orch, phsu]|[idcn]|[qlco]|[idcn]|[prog]|[prog]|[prog]|[ftcn]|[qlco]|[idcn]|[acty]|[inpr]|[popg]|[popg]|[hcro]|[cnce]|[popg]|[resa][aapp, imft]|[inpr]|[qnco]|[phsu]|[orch, phsu]","Atazanavir|Information|Clinical|Recommendation|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|Interaction|Parallel Lesion|Groups|Design|CDISC SEND Study Design Terminology|Social group|Population Group|Specialty Group|Group Object|User Group|Parallel StudyN not otherwise specified Antibody|N+ (tumor staging)|23|Atazanavir+Ritonavir|Nevirapine""Changes in atazanavir PK are relative to atazanavir/ritonavir 300 mg/100 mg alone.","C0392747|C0443172|C1145759|C3875154|C1977391|C1319635|C3817553|C0205171|C0439044|C0679994","[orch, phsu]|[idcn]|[qlco]|[idcn]|[prog]|[prog]|[prog]|[ftcn]|[qlco]|[idcn]|[acty]|[inpr]|[popg]|[popg]|[hcro]|[cnce]|[popg]|[resa][aapp, imft]|[inpr]|[qnco]|[phsu]|[orch, phsu][ftcn]|[qnco]|[orch, phsu]|[idcn]|[phsu]|[qnco]|[qnco]|[qnco]|[fndg]|[grpa]","Atazanavir|Information|Clinical|Recommendation|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|Interaction|Parallel Lesion|Groups|Design|CDISC SEND Study Design Terminology|Social group|Population Group|Specialty Group|Group Object|User Group|Parallel StudyN not otherwise specified Antibody|N+ (tumor staging)|23|Atazanavir+Ritonavir|NevirapineChanging|Changed status|Atazanavir|Relative to|Atazanavir+Ritonavir|mg/mg|100%|Singular|Living Alone|alone - group size"
"\albuterol,\systemic and inhaled\amoxicillin\ampicillin,\with or without sulbactam\atenolol\azithromycin\caffeine,\dietary ingestion\cefaclor\co-trimoxazole\(trimethoprim and sulfamethoxazole)\diltiazem\dirithromycin\enflurane\famotidine\felodipine\finasteride\hydrocortisone\isoflurane\isoniazid\isradipine\influenza vaccine\ketoconazole\","C0001927|C0205373|C0004048|C0002645|C0002680|C0038665|C0004147|C0052796|C0006644|C0012155|C0232478|C0007537|C0041044|C2699635|C0041041|C0038689|C0012373|C0058445|C0014277|C0015620|C0015772|C0060389|C2928944|C0022180|C0022209|C0071304|C0021403|C0770694|C2708137","[orch, phsu]|[ftcn]|[orgf]|[antb, orch]|[antb, orch]|[antb, orch]|[orch, phsu]|[antb, orch]|[orch, phsu]|[food]|[biof]|[antb, orch]|[orch, phsu]|[ftcn]|[antb, orch]|[antb, orch]|[orch, phsu]|[antb, orch]|[orch, phsu]|[orch, phsu]|[orch, phsu]|[horm, orch, phsu]|[phsu]|[orch, phsu]|[orch, phsu]|[orch, phsu]|[imft, phsu]|[imft, orch, phsu]|[clna]","Albuterol|Systemic|Inspiration function|Amoxicillin|Ampicillin|Sulbactam|Atenolol|Azithromycin|Caffeine|Diet|Ingestion|Cefaclor|Trimethoprim-Sulfamethoxazole Combination|Dietary Route of Administration|Trimethoprim|Sulfamethoxazole|Diltiazem|dirithromycin|Enflurane|Famotidine|Felodipine|Finasteride|Hydrocortisone / Ketoconazole|Isoflurane|isoniazid|Isradipine|Influenza virus vaccine|trivalent influenza vaccine|Influenza vaccine:-:Point in time:^Patient:-"
"\albuterol,\ systemic and inhaled\amoxicillin\ampicillin,\ with or without sulbactam\atenolol\azithromycin\caffeine,\ dietary ingestion\cefaclor\co-trimoxazole\ (trimethoprim and sulfamethoxazole)\diltiazem\dirithromycin\enflurane\famotidine\felodipine\finasteride\hydrocortisone\isoflurane\isoniazid\isradipine\influenza vaccine\ketoconazole\","C0001927|C0205373|C0004048|C0002645|C0002680|C0038665|C0004147|C0052796|C0006644|C0012155|C0232478|C0007537|C0041044|C2699635|C0041041|C0038689|C0012373|C0058445|C0014277|C0015620|C0015772|C0060389|C2928944|C0022180|C0022209|C0071304|C0021403|C0770694|C2708137","[orch, phsu]|[ftcn]|[orgf]|[antb, orch]|[antb, orch]|[antb, orch]|[orch, phsu]|[antb, orch]|[orch, phsu]|[food]|[biof]|[antb, orch]|[orch, phsu]|[ftcn]|[antb, orch]|[antb, orch]|[orch, phsu]|[antb, orch]|[orch, phsu]|[orch, phsu]|[orch, phsu]|[horm, orch, phsu]|[phsu]|[orch, phsu]|[orch, phsu]|[orch, phsu]|[imft, phsu]|[imft, orch, phsu]|[clna]","Albuterol|Systemic|Inspiration function|Amoxicillin|Ampicillin|Sulbactam|Atenolol|Azithromycin|Caffeine|Diet|Ingestion|Cefaclor|Trimethoprim-Sulfamethoxazole Combination|Dietary Route of Administration|Trimethoprim|Sulfamethoxazole|Diltiazem|dirithromycin|Enflurane|Famotidine|Felodipine|Finasteride|Hydrocortisone / Ketoconazole|Isoflurane|isoniazid|Isradipine|Influenza virus vaccine|trivalent influenza vaccine|Influenza vaccine:-:Point in time:^Patient:-"
"\AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide\","C0332257|C0021966|C0021968|C0885449|C2348268|C0332256|C2700400|C2930749","[ftcn]|[inch]|[elii, phsu]|[phsu]|[elii]|[ftcn]|[acty]|[irda]","Including (qualifier)|Iodides|Iodine|Iodine, Homeopathic preparation|Dietary Iodine|Containing (qualifier)|Contain (action)|Radiographic contrast media"
"\Amiodarone,amlodipine,ranolazine \","C0002598|C0051696|C0073633","[orch, phsu]|[orch, phsu]|[orch, phsu]","Amiodarone|Amlodipine|ranolazine"
"\AmiodaroneIodide (including iodine-containing Radiographic contrast agents)\","C0332257|C0021966|C0021968|C0885449|C2348268|C0332256|C2700400|C2930749","[ftcn]|[inch]|[elii, phsu]|[phsu]|[elii]|[ftcn]|[acty]|[irda]","Including (qualifier)|Iodides|Iodine|Iodine, Homeopathic preparation|Dietary Iodine|Containing (qualifier)|Contain (action)|Radiographic contrast media"
"\Antibiotics\ciprofloxacingentamicintobramycintrimethoprim with sulfamethoxazolevancomycin","C0003232|C0003237|C3540704|C3540705|C3540706|C3540707|C3540708|C3540709|C3540710","[antb]|[antb]|[antb]|[antb]|[antb]|[antb]|[antb]|[antb]|[antb]","Antibiotics|Antibiotics, Antitubercular|Antibiotics for systemic use|Antifungal Antibiotics, Topical|Antibiotic throat preparations|Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE|Antibiotics, Gynecological|antibiotics, intestinal|Antibiotics, ophthalmologic"
"\Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide\","C0013030","[bacs, orch, phsu]","Dopamine"
"\Grapefruitjuice \","","",""
"\Lomitapide\","C2827241","[orch, phsu]","lomitapide"
"\Table 2: Drug  Thyroidal Axis Interactions\","C0039224|C1706073|C1706074|C0687133|C0040132|C0004457|C0999597|C1522496|C3540038","[mnob]|[mnob]|[inpr]|[moft]|[bpoc]|[bpoc]|[mamm]|[spco]|[irda]","Table - furniture|Table Device Component|Data Table|Drug Interactions|Thyroid Gland|Axis vertebra|Genus Axis|Axis|THYROID DIAGNOSTIC RADIOPHARMACEUTICALS"
"\Table 2: Drug-Thyroidal Axis Interactions\","C0039224|C1706073|C1706074|C0687133|C0040132|C0004457|C0999597|C1522496|C3540038","[mnob]|[mnob]|[inpr]|[moft]|[bpoc]|[bpoc]|[mamm]|[spco]|[irda]","Table - furniture|Table Device Component|Data Table|Drug Interactions|Thyroid Gland|Axis vertebra|Genus Axis|Axis|THYROID DIAGNOSTIC RADIOPHARMACEUTICALS"
"\Table III. ","C0039224|C0439070|C1705160|C1706073|C1706074","[mnob]|[inpr]|[qlco]|[mnob]|[inpr]","Table - furniture|Roman Numeral III|III (suffix)|Table Device Component|Data Table"
"\Table III. ","C0039224|C0439070|C1705160|C1706073|C1706074","[mnob]|[inpr]|[qlco]|[mnob]|[inpr]","Table - furniture|Roman Numeral III|III (suffix)|Table Device Component|Data Table""Clinically\significant drug interactions with\theophylline.\Refer to PRECAUTIONS, Drug Interactions for\further information regarding table.\","C0237881|C0687133|C0750502|C1546944|C0039771|C0205543|C1882442|C1517331|C1533716|C0039224|C1706073|C1706074","[mnob]|[inpr]|[qlco]|[mnob]|[inpr][qnco]|[moft]|[idcn]|[qlco]|[bacs, orch, phsu]|[ftcn]|[cnce]|[spco]|[idcn]|[mnob]|[mnob]|[inpr]","Table - furniture|Roman Numeral III|III (suffix)|Table Device Component|Data TableStatistical Significance|Drug Interactions|Significant|Event Seriousness - Significant|Theophylline|Referring|Precaution|Further|Information|Table - furniture|Table Device Component|Data Table"
"\Table IV. ","C0039224|C0022326|C1706073|C1706074","[mnob]|[geoa]|[mnob]|[inpr]","Table - furniture|Ivory Coast|Table Device Component|Data Table"
"\Table IV. ","C0039224|C0022326|C1706073|C1706074","[mnob]|[geoa]|[mnob]|[inpr]","Table - furniture|Ivory Coast|Table Device Component|Data Table""Drugs that have\been documented not to interact with theophylline\or drugs that produce no clinically significant\interaction with theophylline.\Refer to PRECAUTIONS, Drug Interactions for\information regarding table.\","C0013227|C3687832|C1301725|C1609436|C1518422|C0040363|C0041260|C1883351|C0039771|C0237881|C1704675|C0750502|C1546944|C0205543|C1882442|C0687133|C1533716|C0039224|C1706073|C1706074","[mnob]|[geoa]|[mnob]|[inpr][phsu]|[topp]|[hlca]|[inpr]|[ftcn]|[geoa]|[aapp, enzy]|[qlco]|[bacs, orch, phsu]|[qnco]|[ftcn]|[idcn]|[qlco]|[ftcn]|[cnce]|[moft]|[idcn]|[mnob]|[mnob]|[inpr]","Table - furniture|Ivory Coast|Table Device Component|Data TablePharmaceutical Preparations|Drugs|Documented|Document completion status - Documented|Negation|Togo|Tryptophanase|To|Theophylline|Statistical Significance|Interaction|Significant|Event Seriousness - Significant|Referring|Precaution|Drug Interactions|Information|Table - furniture|Table Device Component|Data Table"
"\Verapamil,diltiazem,dronedarone \","C0042523|C0012373|C0766326","[orch, phsu]|[orch, phsu]|[orch, phsu]","Verapamil|Diltiazem|dronedarone"
"\* The interaction between nevirapine and the drug was evaluated in a clinical study. ","C1704675|C0132326|C0013227|C1254351|C0220825|C0008972","[ftcn]|[orch, phsu]|[phsu]|[phsu]|[hlca]|[resa]","Interaction|Nevirapine|Pharmaceutical Preparations|Pharmacologic Substance|Evaluation|Clinical Research"
"\* The interaction between nevirapine and the drug was evaluated in a clinical study. ","C1704675|C0132326|C0013227|C1254351|C0220825|C0008972","[ftcn]|[orch, phsu]|[phsu]|[phsu]|[hlca]|[resa]","Interaction|Nevirapine|Pharmaceutical Preparations|Pharmacologic Substance|Evaluation|Clinical Research""All other drug interactions shown are predicted.\","C0687133|C1547282|C0681842|C1882327","[ftcn]|[orch, phsu]|[phsu]|[phsu]|[hlca]|[resa][moft]|[anim]|[idcn]|[qnco]","Interaction|Nevirapine|Pharmaceutical Preparations|Pharmacologic Substance|Evaluation|Clinical ResearchDrug Interactions|Show|prediction|Percent of Predicted Value"
"\Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products)\","C0003138|C0038633|C0301532|C3714835|C1514468|C0332256|C2700400|C0007447|C0024467|C0304540|C2348270|C3540792|C3714621|C0032521|C4020599|C1707959|C0718050|C0768119|C0592249|C0012133|C0304290|C0006353|C0030755|C0032861|C1382110|C1521725|C0205250|C0013227|C3687832|C0006675|C0006726|C2936886|C3540037|C3714611|C0302583|C0376520|C1166521|C3714701|C0043481|C2348288|C3541396|C3714650|C0010947","[phsu]|[orch, phsu]|[orch, phsu, vita]|[phsu, vita]|[enty]|[ftcn]|[acty]|[chvs]|[elii]|[inch, phsu]|[elii]|[inch, phsu]|[phsu]|[bodm, chvs]|[phsu]|[cnce]|[orch, phsu]|[orch, phsu]|[nnon, phsu]|[nnon, phsu]|[bodm]|[irda, phsu]|[bmod]|[bodm]|[sbst]|[qlco]|[qlco]|[phsu]|[topp]|[bacs, elii, phsu]|[inch]|[phsu]|[phsu, vita]|[phsu]|[bacs, elii, phsu]|[inch]|[phsu]|[phsu]|[elii, phsu]|[elii]|[phsu]|[phsu]|[food]","Antacids|Sucralfate|Multivitamin preparation|Multivitamin Drug Class|product|Containing (qualifier)|Contain (action)|Cations|Magnesium|Aluminum-based antacid|Dietary Magnesium|Magnesium supplements|Magnesium Drug Class|Polymers|Phosphate Binders|Example|sevelamer|lanthanum carbonate|Videx|Didanosine|Chewable Tablet|Buffers|Pediatrics|Powder dose form|powder physical state|Pediatric|High|Pharmaceutical Preparations|Drugs|Calcium|Calcium, Dietary|Calcium [EPC]|CALCIUM SUPPLEMENTS|Calcium Drug Class|Iron|Dietary Iron|Ferrum metallicum, Homeopathic preparation|Iron Drug Class|Zinc|Dietary Zinc|Zinc Supplements|Zinc Drug Class|Dairy Products"
"\CiprofloxacinMycophenolate mofetil","","",""
"\Clozapine\","C0009079","[orch, phsu]","Clozapine"
"\DigoxinEnalaprilIronMetoprololWarfarin\","","",""
"\Duloxetine\","C0245561","[orch, phsu]","duloxetine"
"\I.Due to the competition of salicylate with other drugs for binding to serum albumin the following drug interactions may occur:","C0021966|C0221138|C0679932|C0036075|C0036077|C0013227|C3687832|C1145667|C1167622|C0036773|C0728877|C0231290|C0687133|C0332282|C1709305|C2745955","[inch]|[aapp, imft]|[socb]|[orch, phsu]|[orch, phsu]|[phsu]|[topp]|[acty]|[moft]|[aapp]|[lbtr]|[tmco]|[moft]|[tmco]|[acty]|[tmco]","Iodides|Blood group antibody I|competition|salicylate|Salicylates|Pharmaceutical Preparations|Drugs|Binding action|Binding (Molecular Function)|Serum Albumin|Serum albumin level|Status post|Drug Interactions|Following|Occur (action)|Occurrence"
"\Phenytoin\","C0031507","[orch, phsu]","Phenytoin"
"\Probenecid\","C0033209","[orch, phsu]","Probenecid"
"\Ropinirole\","C0244821","[orch, phsu]","ropinirole"
"\Sildenafil\","C0529793","[orch, phsu]","sildenafil"
"\Table 1: Oral drugs that can be administered concomitantly with Auryxia\","C0039224|C1706073|C1706074|C0029167|C0175795|C0304289|C1521801|C3864953","[mnob]|[mnob]|[inpr]|[bmod]|[topp]|[phsu]|[ftcn]|[phsu]","Table - furniture|Table Device Component|Data Table|Oral Medicine|oral medication|Oral drug preparation|Having administered|Auryxia"
"\Table 2: Drug-Thyroidal Axis Interactions\","C0039224|C1706073|C1706074|C0687133|C0040132|C0004457|C0999597|C1522496|C3540038","[mnob]|[mnob]|[inpr]|[moft]|[bpoc]|[bpoc]|[mamm]|[spco]|[irda]","Table - furniture|Table Device Component|Data Table|Drug Interactions|Thyroid Gland|Axis vertebra|Genus Axis|Axis|THYROID DIAGNOSTIC RADIOPHARMACEUTICALS"
"\Table 4 Drugs Tested in Binding or Drug Interaction Testing or With Post-Marketing Reports\In Vitro\In Vivo","C0039224|C0013227|C3687832|C1706073|C1706074|C0392366|C1145667|C1167622|C0038577|C1704675|C0678798|C0039593|C0687133|C0687676|C0024826|C1704687|C0684224|C0700287|C3273238|C3889645|C1515655|C1533691|C0021135|C2827718","[mnob]|[phsu]|[topp]|[mnob]|[inpr]|[inpr]|[acty]|[moft]|[lbpr]|[ftcn]|[fndg]|[ftcn]|[moft]|[tmco]|[ocac]|[mnob]|[inpr]|[hlca]|[inpr]|[inpr]|[spco]|[qlco]|[inpr]|[ftcn]","Table - furniture|Pharmaceutical Preparations|Drugs|Table Device Component|Data Table|Tests (qualifier value)|Binding action|Binding (Molecular Function)|Substance Abuse Detection|Interaction|Adverse drug interaction|Testing|Drug Interactions|Post|Marketing|Post Device Component|Report (document)|Reporting|Regulatory Report|Clinical Trial Final Report|in vivo|in vitro|In Vitro [Publication Type]|In Vitro Route of Administration"
