'headings','words','POStags'
"'AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)'","'AmiodaroneBeta-adrenergic|antagonists-|(|e.g.|,|Propranolol|>|160|mg/day|)|Glucocorticoids-|(|e.g.|,|Dexamethasone|?|4|mg/day|)|Propylthiouracil|(|PTU|)'","'JJ|NN|(|FW|,|NN|SYM|CD|NN|)|NN|(|FW|,|NN|.|CD|NN|)|NN|(|NN|)'"
'AmiodaroneIodide (including iodine-containing Radiographic contrast agents)','AmiodaroneIodide|(|including|iodine-containing|Radiographic|contrast|agents|)','NN|(|VBG|JJ|JJ|NN|NNS|)'
"'AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)'","'AmiodaroneBeta-adrenergic|antagonists-|(|e.g.|,|Propranolol|>|160|mg/day|)|Glucocorticoids-|(|e.g.|,|Dexamethasone|?|4|mg/day|)|Propylthiouracil|(|PTU|)'","'JJ|NN|(|FW|,|NN|SYM|CD|NN|)|NN|(|FW|,|NN|.|CD|NN|)|NN|(|NN|)'"
'AmiodaroneIodide (including iodine-containing Radiographic contrast agents)','AmiodaroneIodide|(|including|iodine-containing|Radiographic|contrast|agents|)','NN|(|VBG|JJ|JJ|NN|NNS|)'
"'Amiodarone Beta-adrenergic antagonists - (e.g., Propranolol > 160 mg/day) Glucocorticoids -(e.g., Dexamethasone ? 4 mg/day) Propylthiouracil (PTU)'","'Amiodarone|Beta-adrenergic|antagonists|-|(|e.g.|,|Propranolol|>|160|mg/day|)|Glucocorticoids|-|(|e.g.|,|Dexamethasone|?|4|mg/day|)|Propylthiouracil|(|PTU|)'","'NN|JJ|NNS|HYPH|(|FW|,|NN|SYM|CD|NN|)|NNS|:|(|FW|,|NN|.|CD|NN|)|NN|(|NN|)'"
'Amiodarone Iodide (including iodine-containing Radiographic contrast agents)','Amiodarone|Iodide|(|including|iodine-containing|Radiographic|contrast|agents|)','NN|NN|(|VBG|JJ|JJ|NN|NNS|)'
"'Amiodarone,amlodipine,ranolazine'","'Amiodarone|,|amlodipine|,|ranolazine'","'NN|,|NN|,|NN'"
"'AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids- (e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)'","'AmiodaroneBeta-adrenergic|antagonists-|(|e.g.|,|Propranolol|>|160|mg/day|)|Glucocorticoids-|(|e.g.|,|Dexamethasone|?|4|mg/day|)|Propylthiouracil|(|PTU|)'","'JJ|NN|(|FW|,|NN|SYM|CD|NN|)|NN|(|FW|,|NN|.|CD|NN|)|NN|(|NN|)'"
"'AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)'","'AmiodaroneBeta-adrenergic|antagonists-|(|e.g.|,|Propranolol|>|160|mg/day|)|Glucocorticoids-|(|e.g.|,|Dexamethasone|?|4|mg/day|)|Propylthiouracil|(|PTU|)'","'JJ|NN|(|FW|,|NN|SYM|CD|NN|)|NN|(|FW|,|NN|.|CD|NN|)|NN|(|NN|)'"
'AmiodaroneIodide (including iodine-containingRadiographic contrast agents)','AmiodaroneIodide|(|including|iodine-containingRadiographic|contrast|agents|)','NN|(|VBG|JJ|NN|NNS|)'
'AmiodaroneIodide (including iodine-containing Radiographic contrast agents)','AmiodaroneIodide|(|including|iodine-containing|Radiographic|contrast|agents|)','NN|(|VBG|JJ|JJ|NN|NNS|)'
"'Amlodipine\									Aspirin\									Atorvastatin\									Calcitriol\									Clopidogrel\									Digoxin\									Diltiazem\									Doxercalciferol\									Enalapril\									Fluvastatin\									Glimepiride\									Levofloxacin\									Losartan\									Metoprolol\									Pravastatin\									Propranolol\									Sitagliptin\									Warfarin\'",'',''
"'Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products) '","'Antacids|,|Sucralfate|,|Multivitamins|and|Other|Products|Containing|Multivalent|Cations|(|magnesium/aluminum|antacids|;|polymeric|phosphate|binders|(|for|example|,|sevelamer|,|lanthanum|carbonate|)|;|sucralfate|;|Videx|(|didanosine|)|chewable/buffered|tablets|or|pediatric|powder|;|other|highly|buffered|drugs|;|or|products|containing|calcium|,|iron|,|or|zinc|and|dairy|products|)'","'NNS|,|NNP|,|NNP|CC|NNP|NNP|NNP|JJ|NNS|(|NN|NNS|:|JJ|NN|NNS|(|IN|NN|,|NN|,|NN|NN|)|:|NN|:|NN|(|NN|)|VBD|NNS|CC|JJ|NN|:|JJ|RB|VBN|NNS|:|CC|NNS|VBG|NN|,|NN|,|CC|NN|CC|NN|NNS|)'"
"'Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products)'","'Antacids|,|Sucralfate|,|Multivitamins|and|Other|Products|Containing|Multivalent|Cations|(|magnesium/aluminum|antacids|;|polymeric|phosphate|binders|(|for|example|,|sevelamer|,|lanthanum|carbonate|)|;|sucralfate|;|Videx|(|didanosine|)|chewable/buffered|tablets|or|pediatric|powder|;|other|highly|buffered|drugs|;|or|products|containing|calcium|,|iron|,|or|zinc|and|dairy|products|)'","'NNS|,|NNP|,|NNP|CC|NNP|NNP|NNP|JJ|NNS|(|NN|NNS|:|JJ|NN|NNS|(|IN|NN|,|NN|,|NN|NN|)|:|NN|:|NN|(|NN|)|VBD|NNS|CC|JJ|NN|:|JJ|RB|VBN|NNS|:|CC|NNS|VBG|NN|,|NN|,|CC|NN|CC|NN|NNS|)'"
"'Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products) \'",'',''
'Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate','Antacids-|Aluminum|&|Magnesium|Hydroxides-|SimethiconeBile|Acid|Sequestrants-|Cholestyramine-|ColestipolCalcium|CarbonateCation|Exchange|Resins-|KayexalateFerrous|SulfateOrlistatSucralfate','NNP|NNP|CC|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP'
"'Anticonvulsants:Carbamazepine,clonazepam, ethosuximide\'",'',''
"'Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)'","'Antidepressants-|Tricyclics|(|e.g.|,|Amitriptyline|)|-|Tetracyclics|(|e.g.|,|Maprotiline|)|-|Selective|Serotonin|Reuptake|Inhibitors|(|SSRIs|;|e.g.|,|Sertraline|)'","'NNP|NNPS|(|FW|,|NN|)|HYPH|NNPS|(|FW|,|NN|)|HYPH|JJ|NN|NN|NNS|(|NNS|:|FW|,|NN|)'"
"'Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)'","'Antidepressants-|Tricyclics|(|e.g.|,|Amitriptyline|)|-|Tetracyclics|(|e.g.|,|Maprotiline|)|-|Selective|Serotonin|Reuptake|Inhibitors|(|SSRIs|;|e.g.|,|Sertraline|)'","'NNP|NNPS|(|FW|,|NN|)|HYPH|NNPS|(|FW|,|NN|)|HYPH|JJ|NN|NN|NNS|(|NNS|:|FW|,|NN|)'"
"'Antidepressants - Tricyclics (e.g., Amitriptyline) - Tetracyclics (e.g., Maprotiline) - Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)'","'Antidepressants|-|Tricyclics|(|e.g.|,|Amitriptyline|)|-|Tetracyclics|(|e.g.|,|Maprotiline|)|-|Selective|Serotonin|Reuptake|Inhibitors|(|SSRIs|;|e.g.|,|Sertraline|)'","'NNS|HYPH|NNPS|(|FW|,|NN|)|HYPH|NNPS|(|FW|,|NN|)|HYPH|JJ|NN|NN|NNS|(|NNS|:|FW|,|NN|)'"
"'Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)'","'Antidepressants-|Tricyclics|(|e.g.|,|Amitriptyline|)|-|Tetracyclics|(|e.g.|,|Maprotiline|)|-|Selective|Serotonin|Reuptake|Inhibitors|(|SSRIs|;|e.g.|,|Sertraline|)'","'NNP|NNPS|(|FW|,|NN|)|HYPH|NNPS|(|FW|,|NN|)|HYPH|JJ|NN|NN|NNS|(|NNS|:|FW|,|NN|)'"
'Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin','Antidiabetic|Agents-|Biguanides-|Meglitinides-|Sulfonylureas-|Thiazolidediones-|Insulin','JJ|NNP|NNP|NNP|NNP|NNP|NNP'
'Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin','Antidiabetic|Agents-|Biguanides-|Meglitinides-|Sulfonylureas-|Thiazolidediones-|Insulin','JJ|NNP|NNP|NNP|NNP|NNP|NNP'
'Antidiabetic Agents - Biguanides - Meglitinides - Sulfonylureas - Thiazolidediones - Insulin','Antidiabetic|Agents|-|Biguanides|-|Meglitinides|-|Sulfonylureas|-|Thiazolidediones|-|Insulin','JJ|NNPS|HYPH|NNPS|HYPH|NNPS|HYPH|NNPS|HYPH|NNPS|HYPH|NN'
'Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin','Antidiabetic|Agents-|Biguanides-|Meglitinides-|Sulfonylureas-|Thiazolidediones-|Insulin','JJ|NNP|NNP|NNP|NNP|NNP|NNP'
'Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidinediones- Insulin','Antidiabetic|Agents-|Biguanides-|Meglitinides-|Sulfonylureas-|Thiazolidinediones-|Insulin','JJ|NNP|NNP|NNP|NNP|NNP|NNP'
'Antifungals: Fluconazole*\','',''
'Antithrombotics: Warfarin\','',''
'Atazanavir/ Ritonavir*\','',''
'Atazanavir/ritonavir','Atazanavir/ritonavir','NN'
'Atazanavir/Ritonavir*\','',''
'Boceprevir \','',''
'Boceprevir\','',''
"'Calcitriol\										Ciprofloxacin\										Digoxin\										Enalapril\										Furosemide\										HMG-CoA reductase inhibitors\										Hydrochlorothiazide\										Losartan\										Metoprolol\										Nifedipine\										Omeprazole\										Quinidine\										Warfarin\'",'',''
"'Calcium channel blockers: Diltiazem, nifedipine, verapamil\'",'',''
'Cancer chemotherapy:Cyclophosphamide\','',''
'CarbamazepineHydantoinsPhenobarbitalRifampin','CarbamazepineHydantoinsPhenobarbitalRifampin','NNP'
'CarbamazepineHydantoinsPhenobarbitalRifampin','CarbamazepineHydantoinsPhenobarbitalRifampin','NNP'
'Carbamazepine \','',''
'Carbamazepine','Carbamazepine','NN'
'Carbamazepine Hydantoins Phenobarbital Rifampin','Carbamazepine|Hydantoins|Phenobarbital|Rifampin','NN|VBZ|NN|NN'
'Carbamazepineand carbamazepine epoxide\','',''
'CarbamazepineHydantoinsPhenobarbitalRifampin','CarbamazepineHydantoinsPhenobarbitalRifampin','NNP'
'Carbamazepine','Carbamazepine','NN'
'Carbamazepine','Carbamazepine','NN'
'Carbamazepine','Carbamazepine','NN'
'Carbamazepine','Carbamazepine','NN'
'Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate sodiumPerphenazineResorcinol (excessive topical use)Thiazide Diuretics','Chloral|HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate|sodiumPerphenazineResorcinol|(|excessive|topical|use|)|Thiazide|Diuretics','JJ|NN|NN|(|JJ|JJ|NN|)|NN|NNS'
'Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate sodiumPerphenazineResorcinol (excessive topical use)Thiazide Diuretics','Chloral|HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate|sodiumPerphenazineResorcinol|(|excessive|topical|use|)|Thiazide|Diuretics','JJ|NN|NN|(|JJ|JJ|NN|)|NN|NNS'
'Chloral Hydrate Diazepam Ethionamide Lovastatin Metoclopramide 6-Mercaptopurine Nitroprusside Para-aminosalicylate sodium Perphenazine Resorcinol (excessive topical use) Thiazide Diuretics','Chloral|Hydrate|Diazepam|Ethionamide|Lovastatin|Metoclopramide|6-Mercaptopurine|Nitroprusside|Para-aminosalicylate|sodium|Perphenazine|Resorcinol|(|excessive|topical|use|)|Thiazide|Diuretics','NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NN|NN|NN|(|JJ|JJ|NN|)|NN|NNS'
'Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate sodiumPerphenazineResorcinol (excessive topical use)Thiazide Diuretics','Chloral|HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate|sodiumPerphenazineResorcinol|(|excessive|topical|use|)|Thiazide|Diuretics','JJ|NN|NN|(|JJ|JJ|NN|)|NN|NNS'
'Cimetidine','Cimetidine','NN'
'Cimetidine','Cimetidine','NN'
'Cimetidine\','',''
'ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen','ClofibrateEstrogen-containing|oral|contraceptivesEstrogens|(|oral|)|Heroin|/|Methadone5-FluorouracilMitotaneTamoxifen','JJ|JJ|NNS|(|JJ|)|NN|SYM|NN'
'ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen','ClofibrateEstrogen-containing|oral|contraceptivesEstrogens|(|oral|)|Heroin|/|Methadone5-FluorouracilMitotaneTamoxifen','JJ|JJ|NNS|(|JJ|)|NN|SYM|NN'
'Clofibrate Estrogen-containing oral contraceptives Estrogens (oral) Heroin / Methadone 5-Fluorouracil Mitotane Tamoxifen','Clofibrate|Estrogen-containing|oral|contraceptives|Estrogens|(|oral|)|Heroin|/|Methadone|5-Fluorouracil|Mitotane|Tamoxifen','NN|JJ|JJ|NNS|NNS|(|JJ|)|NN|SYM|NN|NN|NN|NN'
'ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen','ClofibrateEstrogen-containing|oral|contraceptivesEstrogens|(|oral|)|Heroin|/|Methadone5-FluorouracilMitotaneTamoxifen','JJ|JJ|NNS|(|JJ|)|NN|SYM|NN'
'Clozapine','Clozapine','NN'
'CYP1A2','CYP1A2','NN'
'CYP2C9','CYP2C9','NN'
'Cytokines- Interferon-?- Interleukin-2','Cytokines-|Interferon-|?|-|Interleukin-2','NN|NN|.|HYPH|NN'
'Cytokines- Interferon-?- Interleukin-2','Cytokines-|Interferon-|?|-|Interleukin-2','NN|NN|.|HYPH|NN'
'Cytokines - Interferon-? - Interleukin-2','Cytokines|-|Interferon-|?|-|Interleukin-2','NNS|HYPH|NN|.|HYPH|NN'
'Cytokines- Interferon-?- Interleukin-2','Cytokines-|Interferon-|?|-|Interleukin-2','NN|NN|.|HYPH|NN'
'Delavirdine Etravirine Rilpivirine \','',''
'didanosine','didanosine','NN'
'DigoxinEnalapril Iron Metoprolol Warfarin','DigoxinEnalapril|Iron|Metoprolol|Warfarin','NNP|NNP|NNP|NNP'
'DigoxinEnalaprilIronMetoprololWarfarin','DigoxinEnalaprilIronMetoprololWarfarin','NNP'
'Dopamine / Dopamine AgonistsGlucocorticoidsOctreotide','Dopamine|/|Dopamine|AgonistsGlucocorticoidsOctreotide','NN|SYM|NN|NN'
